category,name,year_founded,stage,raised_m,employees,reg_number,website,description
EV & Clean Energy,Tomorrow.io,2016,Revenue Growth,468.0,150,515903235,https://www.tomorrow.io,"Tomorrow.io is the modern end-to-end platform for managing weather resiliency. The company combines next-generation space technology, generative AI and proprietary weather modeling to deliver better forecasting and decision-making capabilities. DeepSky, Tomorrow.io's platform, significantly increase"
ADAS & Safety,Vayyar,2011,Revenue Growth,296.0,140,514695915,https://vayyar.com,"Vayyar Imaging, a leader in 4D radar imaging, bridges the gap between radar robustness and LiDAR resolution. Initially focused on early-stage breast cancer detection via radio frequency technology, the company has expanded into automotive, smart home, robotics, retail, RF testing, and medical sector"
ADAS & Safety,Valens,2006,Revenue Growth,292.0,225,513887042,https://www.valens.com,"Valens Semiconductor is an Israel-based fabless semiconductor company specializing in advanced high-speed connectivity chipsets for automotive and professional audio-video markets. Its technology enables long-reach, uncompressed transmission of ultra-high-definition video, data, control signals, and"
Smart Cities & Mobility,ZOOZ Power,2013,Initial Revenues,241.7,30,514881564,https://www.zoozpower.com,"Zooz Power develops ultra-fast EV charging solutions powered by a flywheel-based energy storage system, enabling high-power charging without relying on grid upgrades. The company’s technology focuses on energy efficiency, grid stabilization, and sustainable electrification – particularly for the ele"
Components & Manufacturing,StoreDot,2012,Revenue Growth,218.0,83,514820117,https://www.store-dot.com,"StoreDot is a manufacturer of batteries and lithium-ion components designed for electric cars. The company offers XFC (Extreme Fast Charging) batteries for electric vehicles by combining nano-structural materials with organic and inorganic compounds and proprietary electrolytes, utilizing artificial"
Components & Manufacturing,Powermat,2006,Revenue Growth,200.5,45,513814442,https://powermat.com,"Powermat Technologies provides advanced wireless charging & wireless power supply platforms to OEMs aiming to modernize their product roadmap. Recognized as one of the world leading inventors of wireless power solutions, Powermat's trend setting heritage, large scale first to market strategy based o"
ADAS & Safety,Arbe,2015,Initial Revenues,174.5,150,515333128,http://www.arberobotics.com,"Arbe, a global leader in Perception Radar solutions, is spearheading a radar revolution, enabling safe driver-assist systems today while paving the way to full autonomous-driving. Arbe’s radar technology is 100 times more detailed than any other radar on the market and is a critical sensor for L2+ a"
InsurTech,Nexar,2015,Revenue Growth,171.5,132,515181907,https://www.getnexar.com,"Nexar is a developer of a mobile application, designed to detect driving hazards and prevent car accidents. The company's artificial intelligence-based dashcam application employs machine vision and sensor fusion algorithms, leveraging the user's phone's sensors to analyze and understand the car's s"
ADAS & Safety,Autobrains,2019,Revenue Growth,140.0,104,515928109,https://autobrains.ai,"Autobrains is a leading AI mobility company, radically rethinking AI for the safest route from ADAS to full autonomy. Revolutionizing how deep learning is applied, Autobrains’ patented self-learning and signature-based AI is a new approach to perception, closing the technology gaps toward the safest"
General Automotive Tech,OSR Enterprises,2011,Revenue Growth,140.0,60,515049062,http://www.osrenterprises.com,"OSR Enterprises develops automotive intelligence systems that integrate AI, data analytics, IoT, and connected car technologies to power autonomous and smart mobility solutions. The company has developed the EVOLVER, a Multi-Domain AI Brain for vehicles. The EVOLVER's advanced architecture, high pro"
Components & Manufacturing,Foretellix,2017,Revenue Growth,134.0,187,514453794,https://www.foretellix.com,"Foretellix is the leading enabler of safe autonomous vehicles. Its Foretify Physical AI toolchain accelerates the training, validation and safety evaluation of autonomous vehicles, making AI safe for the physical world.
 Foretellix empowers OEMs and AV developers to build next-generation AV technolo"
Cybersecurity,Upstream,2017,Revenue Growth,107.0,165,515630713,https://upstream.auto,"Upstream delivers a cloud-based, AI-powered data management platform purpose-built for connected vehicles, smart mobility, and IoT ecosystem. The Upstream Platform transforms fragmented, distributed mobility data into centralized, structured, and contextualized data lakes, unlocking its full potenti"
Fleet & Logistics,Electreon,2013,Initial Revenues,106.35,134,520038126,http://www.electreon.com,"Electreon is a leading developer and provider of wireless charging solutions for electric vehicles. Its end-to-end charging infrastructure works with any type of EV, and is designed for shared mobility, as well as for public transit and commercial fleet operators. The company's proprietary inductive"
