name,stage,employees,raised,year_founded,tech_vertical,reg_number,website,description
Ovo Automotive,Seed,1-10,$3.5M,2019,"Automotive, Cloud, SaaS",515994838,https://ovo.auto,"OVO Automotive is a B2B SaaS company providing car fleet businesses like mobility players, fleet owners and car dealers full and remote control over their connected vehicle screens, driving in-vehicle customer ownership and enablement. Unlike solutions that run apps on the vehicle or on mirrored pho"
Vulcan,Mature,1-10,Undisclosed,,,,,
Axilion Smart,Public,11-50,$24M,2009,"Artificial Intelligence, Automotive, Climate Tech, IoT, SaaS, Smart City",520038548,https://axilion.com,"Axilion Smart Mobility is an AI Digital Twin company that empowers cities to reduce congestion, reduce pollution, and improve road safety. The company is reimagining what is possible for mobility through unique Digital Twin and AI that merges the physical and virtual worlds to help cities to see, un"
i4drive,Seed,1-10,$2M,2014,"Artificial Intelligence, Automotive, Insurtech, IoT, Machine Learning, Machine Vision, Smart City",515108264,https://i4drive.com,i4drive develops an AI software for fully connected autonomous vehicles. The company's patent-pending Multi-layered technology comprises real-time sensor data processing for better autonomous decisions and driving analytics. i4drive’s software-based solutions can be integrated with different hardwar
Auto Cool,Mature,11-50,Undisclosed,,,,,
Auto3P,Mature,51-200,Undisclosed,2000,"Automotive, Insurtech",513110742,https://auto3p.com,"Auto3P provides the automotive world with comprehensive information services, innovative data systems and software solutions. Auto3P's highly-reliable, modular and accurate solutions, make for sustained, long-term business efficiency, dramatically reduce operational costs and optimize business perfo"
Autoboom,Pre-Seed,1-10,$500K,,,,,
MIA Dynamics,Public,11-50,Undisclosed,2020,"Automotive, Defense Tech",516243284,http://www.miadynamics.com,MIA Dynamics delivers a revolutionary all-terrain quad wheel platform that is tailored to the smart mobility landscape. The company's mission is to create a new standard of efficiency & resilience that will proliferate cities globally with its collection of revolutionary micro e-vehicles that bear a
Airwayz Drones,Seed,11-50,Undisclosed,2018,"Artificial Intelligence, Automotive, Cloud, Defense Tech, Drones, Smart City",516010386,https://www.airwayz.co,"Airwayz is a developer of a cloud-based management platform, designed to be used for real-time monitoring and operating heterogeneous drone fleets. The company's platform is an artificial intelligence-based dynamic urchin tracking module and a multi-autonomous flight system that can control, manage "
ArrowSpot,Mature,11-50,Undisclosed,,,,,
AtlasCT,Mature,1-10,Undisclosed,,,,,
Autonomy AI,Pre-Seed,11-50,$4M,,,,,
Bluewhite,C,51-200,$89.7M,,,,,
Cando Drones,Seed,11-50,$100K,,,,,
CaPow,A,11-50,$23.5M,2018,"Automotive, Deep Tech, Industry 4.0, Robotics",515918035,https://capow.energy,"CaPow's solution is based on floor antennas that enable energy supply, while moving. It also reduces the use of lithium-ion batteries and allows integration into existing infrastructure, without significant changes to the warehouse design. The company works in collaboration with robot manufacturers "
Captain's Eye,Pre-Seed,11-50,$4M,,,,,
Cervello,Seed,11-50,$19.5M,2018,"Artificial Intelligence, Automotive, Cyber Security, IoT",515814770,https://cervello.security,"Cervello's cybersecurity platform enables rail organizations of all sizes to identify and resolve the most critical risks in their networks so they can run and manage their service more securely and efficiently, creating new degrees of safety and performance. Several of the world's leading railways "
CogniTeam,A,11-50,$9.8M,,,,,
Commcrete,A,11-50,$28.37M,,,,,
CorrActions,A,11-50,$10.95M,2019,"Artificial Intelligence, Automotive, Deep Tech",515999761,https://corractions.com,"CorrActions provides a software-only, motion based, driver monitoring product. CorrActions uses unconscious, uncontrollable, muscular submovements to monitor brain activity. By tracking these movements from sources like steering wheels or smartphones, CorrActions can detect a wide range of cognitive"
Crispify,Pre-Seed,1-10,$700K,,,,,
deliverz.ai,Seed,1-10,$3.6M,,,,,
Demandoo,Seed,1-10,Undisclosed,,,,,
DriveU.auto,Seed,11-50,$4M,2019,"Artificial Intelligence, Automotive, Cloud, Robotics",516090842,https://driveu.auto,"The DriveU.auto Teleoperation Connectivity Platform enables safe teleoperation of robots, autonomous vehicles, and more, using cellular bonding and dynamic encoding. The platform is already deployed and in use on public roads and provides high speed, low latency, ultra-reliable transmission of video"
E-Drive,Mature,11-50,Undisclosed,,,,,
Electreon,Public,51-200,$64.82M,2013,"Automotive, Climate Tech, Construction Tech, Smart City",520038126,http://www.electreon.com,"Electreon is a leading developer and provider of wireless charging solutions for electric vehicles. Its end-to-end charging infrastructure works with any type of EV, and is designed for shared mobility, as well as for public transit and commercial fleet operators. The company's proprietary inductive"
Elssway,Pre-Seed,1-10,$1.65M,,,,,
Enervibe,A,11-50,$4.1M,2016,"Automotive, Climate Tech, Deep Tech, Industry 4.0, IoT",515859809,https://enervibe.co,"Enervibe is developing devices, known as ""Vibration Energy Harvesters"" (VEH), devices that convert mechanical energy into electrical energy. The company's devices focus on the optimization of mechanical to electrical energy conversion and increase data integrity for monitoring systems, enabling clie"
Enigmatos,Mature,11-50,Undisclosed,2017,"Artificial Intelligence, Automotive, Big Data, Cloud, Cyber Security, IoT, Machine Learning",515312825,https://www.enigmatos.com,"Enigmatos' system studies the unique characteristics of each vehicle in the fleet and produces a unique profile for it through machine learning. After that, the company's system monitors the messages in the CAN network in real time and compares them to the profile. When Enigmatos' system detects a d"
Gasngo,Mature,11-50,$12M,2005,Automotive,515420180,https://gasngo.com,"GasNGo is a technology and service company offering the ultimate answer to fleet needs. Its comprehensive fleet control system allows fleet managers to view and control all fleet activity, transactions and maintenance online and in real-time. Since 2005, GasNGo has been providing patented, cost-effe"
Gloat,D,51-200,$186.4M,,,,,
GreenRoad,Mature,51-200,$98.9M,2004,"Artificial Intelligence, Automotive, IoT",513524587,https://greenroad.com,"GreenRoad developed active safety systems to improve driver behavior. The company's systems use unique technology to detect safety incidents, relying on a driving model that identifies complex driving scenarios in a wide range of hardware levels, depending on the type of vehicle. They also provide t"
High Lander,A,51-200,$17M,,,,,
Hoopo,A,51-200,$15.02M,2016,"Artificial Intelligence, Automotive, Deep Tech, Industry 4.0, IoT",515326452,https://www.hoopo.tech,"Hoopo provides monitoring and tracking solutions for non-motorized equipment. The company's technology allows end-to-end tracking both outdoors and indoors with the transmission of messages and data across long distances, enabling businesses to maintain low ownership costs and high power-efficiency "
Loginno,Mature,1-10,$100K,,,,,
Make My Day,A,11-50,$5.5M,2017,"Artificial Intelligence, Automotive, Big Data, Climate Tech, Machine Learning, SaaS",515651545,https://makemydayapp.com,"Make My Day helps Drivers and fleets shift to EVs and manage the charging of the vehicles. the company offers EV Route planner for drivers, full Fleet electrification solutions, EV fleet management system and EV charging optimization, to seamlessly adopt EV fleets, saving time, money, and operationa"
Micronet,Public,51-200,$4M,,,,,
Mida Computers,Mature,11-50,Undisclosed,,,,,
IRP Systems,C,51-200,$57M,2015,"Automotive, Deep Tech",514092758,https://www.irpsystems.com,"IRP systems delivers innovative high-performance E-powertrain systems. Its goal is to make electric mobility technology affordable for the mass market, making electric vehicles accessible to everyone, everywhere. Leveraging its breakthrough technology in control algorithms and powertrain design, the"
A2Z Advanced,Public,1-10,$55.91M,,,,,
Maris-Tech,Public,11-50,$19.8M,,,,,
Payton Planar,Public,11-50,Undisclosed,,,,,
Polyfos 3D,Pre-Seed,1-10,$1.58M,,,,,
Polyn Technology,Seed,11-50,$4.75M,,,,,
Weebit Nano,Public,11-50,$138.69M,,,,,
3d Signals,C,11-50,$36.78M,,,,,
5D-Sensing,Seed,1-10,Undisclosed,,,,,
Adhestick,Mature,1-10,Undisclosed,2002,"Automotive, Big Data",513189423,http://www.sti-ltd.org,"STI (Security Technology Integration) provides a wide range of Civil and security solutions for the para-military and policing forces. The company is developing, manufacturing and marketing, solutions and systems for the Civil and for the Homeland Security & Defense Global Market."
Aeromaoz,Mature,11-50,Undisclosed,,,,,
Alex Original,Mature,11-50,Undisclosed,,,,,
Alteco AI,Seed,1-10,$1M,,,,,
Alva Technologies,Mature,11-50,Undisclosed,,,,,
AMICELL - Amit,Mature,11-50,Undisclosed,,,,,
Amppera,Mature,11-50,Undisclosed,,,,,
ARTsys360,Mature,1-10,$3.95M,2013,"Automotive, Defense Tech, Drones",514907617,https://www.artsys360.com,"ARTsys360 is developing Anti drone system with an innovative Radar system to be deployed in restricted perimeters and compounds such as Airports, prisons, nuclear plants, water reservoir, energy stations, hotels stadiums and communications facilities which deliver the resources that are central to o"
Ashot Ashkelon,Public,51-200,Undisclosed,,,,,
